classLast,20,5,space
10.8456 3.86039 5.51238 0.12972 9.63349 8.733 -25.2507 -15.7953 -10.7237 1.97753 3.56993 10.7232 4.03555 30.7426 -5.8535 -13.9811 4.19928 -13.9311 -0.0414181 -8.27974 0
2.73988 3.07377 13.8565 -4.24383 6.07162 -2.97503 -8.89484 -0.210769 2.13067 2.86859 14.9778 5.18912 6.35973 1.60397 -3.81964 -6.38714 7.46081 -9.68479 0.19356 -4.79335 0
5.02125 8.07875 1.58524 -8.63441 8.56602 7.7377 -3.77366 -1.81287 6.29584 0.0140637 3.2075 11.7946 7.97767 18.1848 -7.61134 -11.203 3.51733 -8.39241 2.95099 -7.11213 0
5.07462 -2.8205 23.1713 -15.3388 14.785 9.84748 -12.6765 5.88396 0.148475 -0.0305147 3.04118 7.79905 4.34553 0.650159 1.11414 -6.96327 4.81059 -10.9875 0.0949471 -9.02694 0
3.70186 8.17769 9.34933 -9.73856 7.36069 5.46216 -15.0798 -4.53391 3.38455 -2.4355 7.04922 5.70334 4.90532 9.5131 -7.57335 -2.07224 7.11815 -15.8432 0.267588 -7.823 0
4.64476 0.510075 12.7825 -8.85822 13.8684 11.4472 -13.9648 17.8134 -1.08951 2.62226 2.46464 5.09755 7.28373 26.4734 -7.43442 -11.2876 5.98797 -11.1359 -2.06882 -5.11811 0
3.11465 1.94815 11.629 -17.2535 12.0605 11.1362 0.788915 -0.547028 0.418474 -0.565682 10.6191 10.3094 5.36048 14.6757 -6.90776 -1.65576 6.88697 -10.2634 1.70732 -7.01314 0
11.1504 11.0939 -4.51395 -3.46848 6.24453 0.389897 -0.464783 8.32071 -4.85777 2.41302 10.8198 10.8265 8.63073 6.95411 1.03996 -11.9984 3.05062 -13.0818 1.70136 -10.0015 0
1.52591 -2.83158 15.8285 -4.74983 6.82998 -5.38553 -4.9843 2.41457 0.456326 0.886373 3.04875 5.71838 6.6076 9.3876 -8.70518 -3.77899 11.5166 -12.8054 1.73257 -9.68168 0
1.58104 5.53558 19.7538 13.2501 6.00723 4.15467 6.1272 5.20213 1.04185 2.45867 0.969572 10.5564 6.44636 12.1056 -5.15394 -24.3313 5.74288 -5.82736 -0.12212 -7.14799 0
